external_gene_name,log2FoldChange,padj,baseMean
GAS2L1P1,-4.143928719,0.002168067,16.11243198
LINC02207,3.95563596,0.002177619,24.11820682
HTR3A,5.237586674,0.002196407,32.29617751
CLCN7,-1.270149889,0.002211483,11441.82992
GOLGA6L4,2.400946084,0.002213617,41.40051492
DEGS2,-3.482285372,0.002216611,4990.335613
HIF3A,3.216958526,0.002216611,242.3054475
PLP1,2.452725902,0.002221564,45.72844402
FGF13-AS1,3.471036744,0.002221899,48.61812313
MTCP1,1.282903175,0.002221899,50.57596239
NTSR1,3.576275755,0.002221899,16.82291098
POU2AF3,2.210251296,0.002222817,134.8017258
RN7SL11P,3.517365677,0.002227776,27.04466407
CEROX1,3.54662437,0.002227776,2947.289466
SP140,3.528779121,0.002234376,617.2437985
AP2A1,-1.279985605,0.0022389,8320.516979
,2.611569049,0.002240178,63.59723832
,7.112929082,0.002249316,12.36633338
MAP3K12,-1.703414033,0.00225319,2410.780018
FRG1CP,2.684625276,0.00225319,442.9205232
SEC61GP1,6.528255564,0.002257731,8.247263367
Metazoa_SRP,1.922988189,0.002259204,34.11985613
MIDN,-1.539847895,0.002259204,10434.84013
DMD,3.874680845,0.002259428,4472.543295
LINC01273,2.764613845,0.002259428,25.57191446
DNAJC12,-3.639248596,0.002268758,759.9145205
EGLN2,-1.350775631,0.002271552,880.6974804
,2.532819434,0.002274269,10.25552569
AGPAT1,-1.591653613,0.002274445,2308.325328
LINC02771,4.19206532,0.00227617,24.12230243
PTPRN2,-4.262679975,0.002281429,2011.063685
,5.486819412,0.002281429,6.068280202
MARK1,2.336993909,0.002282608,546.9583779
,3.965182507,0.002283703,9.834349417
,1.244492241,0.002296456,478.6703452
TRIML1,6.567210923,0.002300218,19.03193234
,3.437633988,0.002310644,9.890854342
CASP8AP2,2.104580136,0.002319379,8147.737086
AZGP1P1,-2.330551682,0.002319379,1628.08185
,3.786730983,0.002336276,10.20411503
S100A9,4.380037683,0.002340184,301.119882
SNORA77,2.558362594,0.002344625,43.02896768
,4.751196944,0.002344625,50.36970434
,4.879724504,0.002344625,3.963059156
SLC27A4,-1.420526156,0.002344625,2928.297085
LIN28B,6.85311043,0.002349155,10.35716665
BCL2L1,-1.574601055,0.002349974,4528.69225
PPP1R26-AS1,-1.660461092,0.002353443,281.7555759
KCNJ9,2.738366771,0.002355745,27.67879158
,4.43265457,0.002378113,98.9578293
,3.324182485,0.002380076,87.74655873
,3.638711769,0.002396007,21.00066679
MEX3A,3.187407244,0.002400755,9486.672525
FAM157D,2.514623597,0.002404123,27.00496028
ZNF516,-2.76729568,0.002405558,1822.166815
LOLI1,3.01332591,0.002406777,45.20785742
NANOGNBP3,2.526044342,0.002406777,27.76458463
FAUP4,2.559150938,0.002406777,484.3529722
,1.899035592,0.002406777,280.7644283
AKT1,-1.42608269,0.002415678,13706.29071
TPTEP2,1.911327822,0.002415678,651.1630315
,1.957244086,0.002421101,206.5011872
,-3.142935055,0.002423749,24.64742092
OOEP,4.587303934,0.002436529,17.05488273
SQSTM1,-1.58415048,0.002438216,12946.77227
WAKMAR2,2.213522134,0.00244584,187.0290561
,1.818279893,0.002446601,55.96542991
ST3GAL6-AS1,2.691174044,0.0024546,94.29471871
RAET1E,2.837019549,0.0024546,184.0793691
ZNF280A,5.842028334,0.002462084,5.119391772
RPS15AP18,2.282461553,0.002462788,11.61289305
FOXA1,-4.696567716,0.002468583,13880.74314
PAX6,3.543615739,0.002473275,79.66042651
PCSK2,5.275061495,0.002475424,11.17102434
LINC01220,-2.612101868,0.002477881,14.36780189
ABCD3,-1.233173653,0.002478922,2432.293449
TCTN3,-1.500170553,0.002480286,2054.340365
,1.93178241,0.002480286,21.51657776
HEXIM2,-2.076618449,0.002480286,56.63437092
,1.799215452,0.002493863,174.7063733
RPL7AP60,1.506639681,0.002494738,169.5436904
GATA3-AS1,-4.161011906,0.002508745,1395.439909
KRT18P4,2.567655007,0.002508745,153.9230937
,3.735039827,0.002518732,9.373789032
RBFOX3,2.739765567,0.002522017,61.39250481
Y_RNA,2.200435095,0.002522017,11.50456375
MIR133A1HG,1.459450513,0.002557183,102.9375623
ARHGAP30,2.561573727,0.002564182,4361.836299
FZD9,3.221906962,0.00256562,168.7401314
,2.348580956,0.002568447,12.7087571
GNB2,-1.805313681,0.00256948,17306.70672
CD38,3.453038343,0.002570209,215.314263
GLUL,-2.315859301,0.002571482,39524.52556
,5.34335701,0.002571482,3.610079416
DOCK7-DT,2.84404157,0.002572422,44.37804199
LINC02489,-5.245533871,0.002572422,5.364873889
RNU6-834P,2.127639965,0.002586638,30.83138041
ZFAND3,-1.51839915,0.00258756,3985.330471
AK8,-2.254551258,0.00258756,242.2799344
MCPH1-AS1,1.659635347,0.002596413,620.908534
SYBU,-2.736818033,0.002603115,1543.974466
RPL31P21,2.888829165,0.002609237,23.00703366
,-3.573910857,0.002618107,37.56035651
CD19,5.017729063,0.002627142,1082.914395
CHAD,-3.878306619,0.002627142,2360.235379
SMIM47,3.321063278,0.002627142,19.511916
ANKRD20A21P,3.70912767,0.002644969,156.2977093
PRXL2B,-2.271898745,0.002659052,4673.603108
NBPF14,1.54798629,0.002660047,1447.22269
FAM27C,1.937259394,0.002662735,38.15336345
,5.463730535,0.002683196,9.071277069
LAMA3,-2.274310407,0.00268524,3752.479217
CTSD,-2.845127533,0.0026935,43454.30596
KRT8P37,-3.033210866,0.002695588,7.917997391
TMEM59L,-2.610012429,0.00269688,184.7531988
TCHH,2.865087577,0.002698659,73.35676719
GDE1,-1.828411148,0.002704754,3867.825519
PNISR,2.128066185,0.002705058,32374.2225
SHISA6,-3.786810881,0.002705058,180.758884
RPL29P35,2.862185898,0.002705058,11.8719521
NA,3.845195005,0.002713989,30.10745991
PSAT1,2.966625686,0.002714438,328.649877
,2.146749559,0.002727038,32.38143111
INPP4B,-2.763188077,0.002727038,2623.271922
RAMP1,-2.704157064,0.002727067,438.5553886
SAMMSON,3.736849955,0.002727067,35.98570218
HADHAP1,-3.762312777,0.002727067,29.81494171
GCNT2,2.124185312,0.002727067,2070.984607
,1.815877793,0.002727067,42.38231607
CARD19,-1.413640152,0.002727067,2831.439642
DCHS1,-1.644408631,0.002727067,4782.87579
LINC00517,-3.220769127,0.002727067,30.05040369
POLR2F-AS1,4.497752075,0.002727067,68.0399605
TTC6,-4.42162514,0.002750229,2686.240368
,2.37510715,0.002752651,58.33530771
,3.560498059,0.002756321,15.8128026
RNU6-645P,2.993135574,0.002763959,8.607862159
,2.307853185,0.002763959,98.9143757
RIC8A,-1.342035333,0.002763959,8940.821496
RERG-AS1,-4.148403267,0.002763959,8.830720966
EPN1,-1.493478983,0.00276588,15698.36701
DACH1,-3.594228575,0.002770246,1629.179974
PYCR1,-1.628737762,0.002789071,6085.967926
KRT16,-7.008806938,0.002808332,619.6082171
EVI5L,-1.660466658,0.002814008,3355.519548
COL4A3,2.996927001,0.002816786,287.1857521
C9orf85P2,2.045159928,0.002816786,50.56589063
,4.39692135,0.002820535,10.49057149
,2.123436608,0.002820535,18.36816403
PRLH,-5.705214239,0.0028217,4.825265339
RASEF,-1.9855426,0.0028217,2980.856525
,2.762577318,0.0028217,288.5032034
RPL37P3,5.005557311,0.002829901,6.512462054
CYP4F8,-5.769771199,0.002835432,1700.432218
RNU6-665P,1.897492246,0.002836159,19.54497469
PRKD3,1.067552336,0.002836258,1295.021636
SLC39A12,4.858861643,0.002847655,8.483855578
SEC16A,-2.111493647,0.002851357,13767.51736
SLC2A5,2.239974332,0.002865035,260.2364549
RPL19P6,1.787125578,0.002865035,106.5500982
,-5.390322889,0.002865035,8.978673901
,5.398640782,0.002865035,46.5240562
FAM120AOS,-1.633233439,0.002865628,3691.964
LRPAP1,-1.84478842,0.0028805,5632.875996
NA,3.821813406,0.002889743,16.68940698
HSD17B1P1,-1.948392988,0.002894444,113.5783253
SPANXA2-OT1,2.743766435,0.002908508,158.7819208
MAPT-AS1,-3.691464552,0.002908508,183.0486207
RAB29,1.31426355,0.002909767,1430.122568
C2CD5-AS1,3.518824916,0.002909767,68.75327898
PRKX-AS1,3.699752187,0.002911472,15.29779169
NA,3.624778862,0.002916427,144.2427578
RPL29P8,-3.864232033,0.002919883,8.062173985
NXPE3,-2.200420635,0.002919883,1955.03917
NKX2-5,4.675210889,0.002919883,97.45226003
PKIB,-2.793632303,0.002925186,716.520824
SIRT5,1.275407303,0.002954385,1430.979431
LANCL3,3.2818799,0.002954385,65.50548792
RPL21P12,4.090594367,0.002963709,6.726669155
,-2.092419939,0.002979039,237.3683683
CORO1B,-1.452558052,0.002984765,9309.721276
IL6ST,-2.88330039,0.003016373,19543.97916
E2F5,1.296387609,0.003016373,918.2297887
C12orf56,2.672145799,0.003016373,20.44523117
PTP4A1P1,4.407581369,0.003024211,18.09904449
NA,4.294532127,0.003024211,11.81073302
LINC01436,5.237136161,0.003024211,644.5364212
RAB11FIP5,-1.831988528,0.003026744,3750.088868
,5.350414159,0.003026744,5.565379326
CAPNS1,-1.156700768,0.003026744,25991.78863
LINC02018,1.517593421,0.003031277,65.36614217
RN7SL363P,5.237208603,0.003031277,5.020016627
MIR200B,-2.64683744,0.003041343,137.640166
,2.341266153,0.003041343,106.4186643
,3.146763133,0.003041343,56.44800942
,3.982776877,0.003042779,12.41427791
SEC23IP,-1.438104479,0.003068833,2108.17887
LSM3P5,3.094043245,0.003074341,14.50241309
MRPL15P1,4.396624428,0.00307859,6.143820736
SLC19A2,-1.397450556,0.003080563,1741.877699
LINC01579,3.659906305,0.00308208,17.13927593
PIGFP1,4.510375978,0.003084459,8.838324
SMIM1,-1.836983539,0.003095824,101.7118187
UBE2I-AS1,-3.059674127,0.003098209,129.5271142
RUNDC1,-1.905682445,0.003098209,4228.147023
STX8P1,2.900385421,0.003106913,53.97136206
EFCAB5,2.118532247,0.003106913,54.73873039
,-3.481354891,0.003119346,11.79987625
B3GNT8,-1.971163751,0.003119346,246.3998608
PLEKHG4B,2.804232876,0.003154225,3572.13922
CILP2,-2.450920056,0.003154225,1457.45092
PAX2,-4.445130082,0.003159405,193.5508051
ERICH1,1.586516517,0.003162241,3340.703267
,2.549973255,0.00316931,79.75499766
SLC16A5,-2.398688904,0.003180911,2185.375411
LNX2,-1.992687553,0.003188653,905.1693383
ZFYVE1,-1.196484907,0.003192166,1513.408818
ZNF497,-1.450947889,0.003213866,775.9925277
,5.180593451,0.003218737,10.53327802
GATA6-AS1,3.59671047,0.003218737,64.15174429
Metazoa_SRP,2.434027697,0.003227564,20.21535006
RAB3A,-1.83612326,0.003237915,382.6798197
LALTOP,-2.82900646,0.003238053,162.9704806
,2.45317642,0.00323879,9.554835498
ELAVL3,3.615174144,0.00323879,29.50718046
ACTR1A,-1.112050943,0.003240265,5627.51716
SNRK-AS1,2.359989247,0.003253271,83.30021248
SRMS,-1.948232418,0.003275248,3446.229915
ZNF124,2.282382378,0.003282036,1301.128084
HCG22,4.410549522,0.003284682,21.30136
TMEM127,-1.865343514,0.003300605,6056.183847
SLC45A4-AS1,2.914792948,0.003300605,6.756752045
DNAAF8,-1.644537335,0.003300605,320.7206488
RNF14P4,3.116678376,0.003313371,10.84583391
GEN1,1.434094434,0.003321092,1069.797439
GNL2P1,3.967152644,0.003321092,20.58508236
ARHGAP1,-1.473140899,0.003321092,9307.588869
RNF217-AS1,1.951522997,0.003324551,126.5620738
DAZAP2P1,-1.851825106,0.003327556,92.27659504
RORA-AS4,-2.314765712,0.003327556,46.47374132
,2.810179581,0.003340852,17.08819891
LINC02953,-5.057266231,0.003340852,29.61310406
GOLGA6L7,4.469506252,0.003340852,6.499198967
PRC1-AS1,2.198426272,0.003341845,102.1610374
KLHL34,4.43966114,0.003343248,60.79313117
GPR151,5.33046632,0.003349692,3.593791269
PLGRKT,-1.67706387,0.003349692,496.134355
TNFRSF11A,2.259515736,0.003349692,366.4244641
RNY1P9,2.01173504,0.003352152,16.41156766
NDST1,-1.348166243,0.003354435,8324.87164
RNU6-1016P,1.84455123,0.003354435,138.7618141
NOTUM,-2.565085717,0.003354435,65.31713601
,2.372712643,0.003357492,244.3982929
GOLGA6L17P,3.175005412,0.003370557,16.1025842
ERBB2,-1.693219114,0.00337105,24760.8803
NSFP1,-3.675617023,0.003381561,11.37193814
SMOC2,-2.227902859,0.003384875,2626.040141
VSIG1,2.679907468,0.003384875,80.00643389
LGALS4,3.084322314,0.003411554,232.3040492
KRT19,-1.931080195,0.003420464,67936.75308
PCP4L1,3.588314469,0.003420922,86.73387505
TNKS1BP1,-1.425001428,0.003420922,22407.96302
TMEM219,-1.203350652,0.003420922,4099.358231
NPM1P37,1.504730938,0.003421549,78.34423354
CREB3L2-AS1,2.848773542,0.00343039,16.43079982
,3.269403809,0.003446721,36.1330268
PROP1,-2.554761372,0.003447366,13.20354787
CLSTN2,-3.56850173,0.003447609,3376.885812
YIPF2,-1.37224341,0.003447609,4005.327383
NBEA,-2.632882273,0.003460514,888.8887426
CDHR1,2.805157201,0.003466511,102.5982517
NA,3.440494172,0.003466909,7.754463273
RN7SL378P,3.082061529,0.003466909,14.78497452
SORCS2,-2.428763593,0.003486422,855.4247494
NA,3.266819813,0.003486422,377.8118236
NA,5.031310848,0.00349501,4.450107838
P4HTM,-1.910213122,0.003503132,5208.551193
MAGOH2P,2.324301471,0.003507032,33.53183072
RNU6-379P,2.819301857,0.00351393,15.36725022
,3.168037628,0.003552296,9.854955875
,2.893688593,0.003558579,27.11577274
GPM6B,1.715320601,0.003563172,639.4196129
SLPI,4.322681217,0.003563172,3063.382438
HAPLN3,2.9991995,0.003571268,3612.557956
,5.248651864,0.003573298,3.376986238
,2.026770358,0.003586917,501.475189
PTGFRN,-1.69408693,0.003592279,4199.174407
LINC02003,5.401013902,0.003592279,8.612353353
RNA5SP227,2.639591095,0.003592407,14.44886065
COMMD6P1,2.107427587,0.003592783,10.65058154
RARRES2P1,2.824972779,0.003595083,35.21080177
MS4A7,-3.104660898,0.003605118,4869.605627
MIR200A,-2.710585119,0.003610511,67.99713633
HSPBAP1,1.362711787,0.003610511,663.9686699
RAD17P1,-4.697175892,0.003610511,270.8566005
EME2,-1.550764475,0.003610543,9261.656642
GUCY2C,2.253159215,0.003615607,88.41903188
RNU6-929P,5.426576475,0.003622912,5.78937276
,2.901349192,0.003626376,9.009215221
PPARGC1B,2.004443495,0.003645838,562.3678242
ACER2,-2.604788258,0.003645838,186.4010309
TMEM89,3.555618649,0.003647061,21.27076963
SEZ6L,-3.875930847,0.003649953,63.76579163
TP53I11,-2.038833354,0.00365383,19199.71978
MCIDAS,-4.802978971,0.003658544,185.4597806
ST8SIA1,2.717451266,0.003671037,540.3266572
,1.731633427,0.003671037,27.72570615
SMIM33,-4.374513067,0.00367672,35.52258742
,6.04080765,0.003681045,34.64764007
ZBED3-AS1,1.61446983,0.003684691,199.5222436
DUSP4,-3.339246046,0.003686801,11756.4142
,2.425498366,0.003706281,113.1845195
DNAJC22,-2.631306136,0.003707792,651.5851723
CCNE1,2.521423794,0.003710316,411.9580516
,4.007294599,0.003710765,61.97014562
DLG5,-2.168914987,0.003720189,9322.745222
BRD3OS,-1.779537922,0.003733846,980.2486706
RPS16P5,-3.786916646,0.003756633,36.84678927
COMMD10,-1.527689556,0.003761812,606.4319876
,1.803310435,0.003761812,56.8453841
FAM133CP,3.019263002,0.003765053,243.181574
RNU7-45P,2.712325033,0.003769057,21.24076806
C14orf132,-2.807339472,0.003775212,1874.792675
SYT2-AS1,2.5615865,0.003796071,23.07209115
,3.255923368,0.003796071,100.5595166
NRG4,2.010784772,0.003796071,53.10679933
,2.390716805,0.003804357,15.05217282
THRA,-1.865471828,0.00380495,3869.874108
ZNF516-DT,-3.166189099,0.003805883,14.38833316
AFF3,-3.948108379,0.003826858,9562.954833
PPP1R37,-1.674636009,0.003826858,11610.22933
GLTPD2,-1.293364762,0.003832031,66.07863039
RN7SL812P,1.972833285,0.003846295,50.01024442
ZNF768,-1.395188159,0.003864339,6228.253297
RNF26,-1.609026947,0.00387584,1253.638338
RPL10P2,3.33641354,0.003884054,17.09517241
RNU4-38P,-2.956030628,0.003886155,9.030281513
RNU7-77P,2.503836429,0.003886155,13.07880194
ATP8B1-AS1,1.423255754,0.003886155,228.334044
,-2.521640762,0.003905021,10.48332266
DISC1FP1,4.675622315,0.003905021,17.16142515
IVD,-1.973002966,0.003907463,5966.873042
MISP,-4.345045632,0.003921685,5405.798879
LINC00957,-2.570066577,0.003922428,361.9231326
FOXA2,5.93839249,0.003923905,12.29536933
NSMF,-1.629802309,0.003935393,9943.075468
,1.555545294,0.003935393,76.7276501
PDX1,6.6698306,0.003935393,9.0358082
RNF103,-1.208925716,0.003951544,1646.902914
ACTL8,4.339169021,0.003957101,36.62220144
,-5.187661712,0.003963058,3.378130156
,-3.903441607,0.003965535,44.88316299
OSGIN1,-3.066353996,0.003965535,1353.373751
NEDD4,-1.494797626,0.003976375,694.3595202
,1.770833834,0.003980267,101.2120758
GOLM1,-1.772300341,0.003983031,6268.535289
MXD4,-1.416484936,0.003999508,11411.763
,-2.770471039,0.003999508,11.86672933
UBL3,-2.033995776,0.003999508,2057.483233
ADGRF1,4.306928285,0.004012677,151.4378082
FAM168A-AS1,2.589869361,0.004012677,12.27336632
TMBIM4,-1.179634447,0.004012677,780.0957986
E2F3,1.680328613,0.004024459,1696.705215
SCIN,-3.52027701,0.004025933,544.9100989
LINC01030,4.613153528,0.004025933,7.327102383
RBM38-AS1,1.70793904,0.004032193,92.10600818
STK32B,-2.679317096,0.004035997,634.8329384
RTN2,-1.648765142,0.004035997,631.4064755
,-2.0272659,0.004038348,34.62954076
CADM4,-1.785372961,0.004038348,3448.517809
GOLGA5,-1.588835768,0.004040349,2097.556261
TUBA8,1.736916017,0.004044993,128.2535643
RPS27AP18,5.194277196,0.004050772,3.218030581
B4GAT1,-2.102158706,0.004054038,1241.375959
,-4.100234118,0.004059831,6.884863718
RPS3AP43,4.424522495,0.004061882,21.46198784
UNC80,3.01111224,0.004067952,33.4078772
OR7E116P,5.23632103,0.004088602,5.099930064
EEF1E1P1,2.758625731,0.004089258,9.295803619
PRKX,2.512738217,0.004109595,3442.31638
PSLNR,6.377983276,0.004112592,11.07965681
DNAH8,3.50993532,0.004116171,23.71553587
BCL2A1,2.661013315,0.004126892,66.64639485
NPIPA3,1.099056703,0.004126892,140.241284
CCDC87,-2.832977041,0.00413355,156.4251705
MIPEPP1,2.052289586,0.004133934,52.62391349
CYB5R1,-1.994055984,0.004136477,4198.933012
,2.408346836,0.004136477,14.27346939
,3.194786602,0.004136477,11.32884303
,3.134626347,0.004143942,207.3592356
FBXO17,3.567944076,0.004143942,2474.002203
PIWIL4,1.802599026,0.004144915,152.6351762
KIAA0319L,-1.844224078,0.004145589,11744.44104
CCDC166,4.199593025,0.004145763,60.08299227
ADAT2,2.083325232,0.004151271,540.4475908
,5.78376838,0.004151303,11.133812
FUT8,-2.078188524,0.004151303,1657.18696
SLC5A4-AS1,3.551178125,0.004151303,36.19019938
SLFNL1-AS1,1.769212252,0.00415198,398.7020848
GLYATL1-AS1,3.435272454,0.00415198,526.7162361
EMC10,-1.493593269,0.00415198,9995.101643
VGF,3.067970418,0.004154899,94.82279666
MTCO1P46,-4.133714295,0.004161051,14.79184418
CILP,-3.33340582,0.00416355,7210.334559
RN7SKP80,2.175848832,0.00416355,85.11113549
,-3.983869947,0.004179083,180.7820269
MRAP,2.468346593,0.004179083,26.30507577
RNU6-37P,2.235443525,0.00417948,37.25012512
KRT18P26,1.792894398,0.00417948,43.58659151
,5.353585375,0.00417948,3.631571903
,6.233217655,0.004201867,22.34360353
,1.673935683,0.004204255,52.66522455
NA,6.128807523,0.004218413,9.45879556
DDX43,3.265811208,0.004218413,72.00159714
LINC01843,-4.275318763,0.004220873,33.28467893
RGS22,-2.376430445,0.004223564,203.6203628
,3.006935545,0.004236477,18.80418286
TCAM1P,4.476158535,0.004242832,120.7966565
C2CD4C,-2.056937719,0.004254036,197.4132278
SRSF10P1,2.2120517,0.004256469,59.8212428
RN7SL789P,2.98489102,0.004256469,26.55821922
POM121L9P,2.130850109,0.004256469,156.5914403
,6.06804325,0.004258821,5.980307861
PELATON,2.457867082,0.004262695,65.77649353
EMC7,-1.609228852,0.004283827,1497.002961
APMAP,-1.638174778,0.004290466,5189.077988
ROGDI,-1.364400675,0.00430302,2391.603116
SCARNA3,2.375714815,0.00430396,17.08625519
BAIAP3,-3.024156155,0.00430396,3161.348108
,2.637823238,0.004307484,59.4685494
NA,6.042050308,0.0043123,8.914066268
RPL5P18,2.726097331,0.004319389,51.90067188
DEUP1,3.310388952,0.004319757,95.50396203
GGT7,-1.655765116,0.004337273,1761.372242
,2.686333315,0.004351205,20.14674193
GGTA2P,2.096444383,0.004357763,28.83222687
,5.280631802,0.004377487,5.283424917
CBX1P1,3.176473673,0.004394556,5.787405007
,2.128754243,0.004394556,74.00837481
TPRXL,3.309740242,0.004400744,79.72470896
HMGN3,1.121919702,0.004400744,1283.70313
NA,5.099058661,0.004401818,3.018758238
ARFIP2,-1.41359217,0.004422967,6917.916297
ANK2-AS1,2.787343646,0.004426899,39.37816555
SLC26A1,-1.769886778,0.004430129,1593.361199
STN1,-1.630423961,0.004441781,904.2104324
RN7SL715P,5.217128785,0.004442245,5.075426422
OR7E155P,5.887530461,0.004442245,5.281590518
MIMT1,4.153075792,0.004442245,25.37438609
CCDC187,-4.955014046,0.004445703,303.5138137
MYLK2,2.39500522,0.004445703,69.41827558
ZNF195,1.150967742,0.004449636,1710.181265
MARVELD1,-1.951379261,0.004452222,3035.887004
BNIP3P47,2.479001153,0.004465098,13.6592867
FSTL4,-3.313402309,0.004469244,299.3756818
MTMR9-AS1,1.448395932,0.004475982,115.9734901
NA,1.992487763,0.004482889,91.0901282
,2.52554193,0.004494046,167.6695412
,4.612977922,0.004507101,9.503721581
GOLGA6L10,2.671258651,0.004513031,219.1196866
,4.755759436,0.004516115,17.59646981
RELL1,-2.539961542,0.004516115,1863.328664
MT-TR,1.976348062,0.004516115,166.0819828
PRLR,-1.944406858,0.004525219,6188.849925
PATE2,2.711608372,0.004526268,21.28099032
DUSP1,-2.215809959,0.004552082,7307.59959
,1.73782949,0.004552082,94.52273922
IRF2BPL,-1.881396257,0.004552082,5993.011381
,2.329783863,0.004552897,60.69484979
CDKN1A,-2.035185375,0.004560989,5302.247201
MT-TG,1.941123148,0.004560989,88.78227049
RN7SKP112,4.150442957,0.004564155,9.182403382
ALG1,-1.354533733,0.004581327,983.028083
SPATA20,-1.775089378,0.004581327,9714.801637
VN1R21P,5.782825843,0.004585264,11.07602586
TFE3,-1.100059417,0.004597495,5683.432712
LINC02973,2.720042838,0.004604701,12.0800135
,2.924134072,0.004613602,35.50934993
RNU1-67P,2.44341788,0.004627091,43.57506538
GPRIN2,2.58495277,0.004638231,958.181817
NANOGP5,1.414587988,0.004657746,173.7519035
OS9,-1.764076479,0.004663718,9826.820272
,5.559090295,0.004667643,4.178376273
,-1.672473206,0.004672075,23.85659293
AHNAK,-1.279612496,0.004685076,29384.29448
,2.570070566,0.004685759,18.01868388
LYAR,1.095943713,0.004685759,723.6524921
TUBB2A,-2.268377411,0.004685759,1105.017437
,2.116323163,0.004685759,91.53722942
SSTR2,-3.22952956,0.004692492,1242.244232
PKN2-AS1,1.674369351,0.00470394,25.74178103
RNASE2,2.420433464,0.00470394,20.34128737
MPP2,-2.978977415,0.00470394,792.3392498
NSRP1P1,2.476657562,0.004722738,776.7862158
CSP2,-2.937736478,0.004722738,21.25532389
SAGE1,5.962584685,0.004722738,5.539190176
AQP9,2.405735989,0.004727342,18.75921522
POU2F2,2.825669862,0.004732644,2598.95485
MIR5585,2.587060229,0.004736573,7.591551205
FEM1AP2,-3.304187591,0.004736573,26.03221527
,2.199076639,0.004741697,52.95111077
BOC,3.025955993,0.004749758,6978.861868
HMGN1P15,2.257792822,0.00476093,24.75573666
DGKQ,-1.441848984,0.0047678,5510.654279
CARMAL,2.951385971,0.0047825,39.00969388
TRIM2,2.013763909,0.004791957,2372.692557
WRN-AS1,3.411806359,0.004791957,14.70465605
,1.376334486,0.00479393,152.0556684
IGF2BP1,4.674066866,0.004798598,93.08682834
,2.662757789,0.004804359,34.78980686
LINC02048,4.998234961,0.004816108,6.584980961
,4.964564469,0.004818467,4.225847732
THEMIS2,1.860155527,0.00482085,999.990952
CDK20,-1.372066218,0.004825355,1125.939725
,1.584650057,0.004846938,37.09067024
FAM238A,3.479049879,0.004846938,10.93488683
RNU6-946P,2.824858395,0.004846938,30.66498729
,4.751370278,0.004852059,3.7299168
RORC,-2.752071755,0.00485415,2135.289946
,2.450517305,0.00485415,20.22299801
SNORD3A,3.67011783,0.00485415,146.3819222
TOLLIP,-1.874960011,0.004858723,4374.004986
LINC03052,-1.586932662,0.004865798,223.6051755
SYT16,3.432272256,0.004882307,11.21824386
TMEM161BP1,-4.157703881,0.004884946,82.91777524
LINC02043,3.999889536,0.004912004,86.92843502
,3.168090008,0.004916027,19.33635806
LRTM3,2.233921937,0.004916027,130.2581745
NHSL3,-1.700513412,0.004917425,21967.45986
FGGY-DT,2.200534295,0.004927276,23.36602447
LINC01115,-5.881368384,0.004933404,44.7763483
PINX1,1.462936077,0.004933404,331.0432641
PGAM1P2,6.444180096,0.004933404,11.67134566
,7.51799022,0.004949685,166.6006236
PGAM1P8,1.852745069,0.004949685,112.1893804
PLCG2,3.235935285,0.004953775,5177.415494
,4.422443551,0.004964605,4.382872489
RNU6-611P,1.635004136,0.004964605,52.76500584
LRRC7,1.718370082,0.004981062,45.87813469
HSPE1P13,2.093131144,0.004981062,23.03019989
AGPS,-1.783993168,0.004981062,1523.790496
FN3K,-1.653170662,0.004981062,2090.691729
HAMP,2.776091531,0.004981062,44.75918527
IMPDH1P8,2.801354477,0.004983712,200.5450727
CDH19,5.054380606,0.004983712,78.22322444
,1.887432856,0.004997372,1371.655297
ROR2,-2.128550882,0.005003242,1308.891821
RCSD1,3.048239997,0.005005738,2154.988423
ECM1,-2.376594957,0.005005738,4886.67957
CELF4,3.076681612,0.005005738,250.5985933
,1.919789541,0.005007457,57.57897073
ITM2B,-1.766022527,0.005016077,16320.56916
MORF4L1P1,1.970414969,0.005024543,63.31724635
FAM234A,-1.239057369,0.005030848,12370.47162
CDH1,-1.453727503,0.005032199,9233.960485
,1.39149692,0.005032199,70.71073216
,1.808882838,0.005035402,45.54550184
BLK,4.869180307,0.005042349,585.4529713
ERP29P1,1.827847486,0.005042349,44.74885379
,1.997877253,0.005044943,336.9563389
,1.758734891,0.005044943,31.12355742
,2.825100925,0.005061806,15.56762639
CLEC4F,4.097857966,0.00507964,427.0443362
ESF1,1.268299513,0.00507964,3381.398758
SYNC,-1.902700378,0.00510599,193.3938161
SIGLEC31P,3.597425309,0.00510599,8.773184944
IL12B-AS1,3.20961289,0.00511279,17.68047008
POP1,1.672290079,0.00511279,1042.457101
ABRA,5.344677083,0.00514977,8.306862584
KRT18P61,1.92854321,0.00514977,133.4462129
NADK2-AS1,-2.376207605,0.005154004,15.32566291
SAPCD1,1.730535966,0.005154004,204.7055663
,3.280232399,0.005154004,30.0409692
NGRN,-1.980720415,0.005154004,945.2755557
ETV3L,5.009313802,0.005161507,224.2229275
PENK-AS1,4.170443977,0.005161507,13.36853584
INSM1,-3.004830297,0.005161507,68.52775995
H2BC12,-2.145941774,0.00517104,751.6190469
NPNT-AS1,-2.152019932,0.005179585,20.1957733
NAGLU,-1.805870947,0.005179585,3199.735852
NA,5.153266494,0.005179585,7.236351412
,2.026072714,0.0052142,18.18639392
PTX3,4.456293198,0.005217086,253.6690025
MAN1C1,-2.757193014,0.005218192,1126.555227
TGFB3,-2.32166911,0.005218939,2591.078362
MTRES1,1.278927168,0.005249215,374.414032
