"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000179023",134.27418052461,10.2769337294306,2.14138229084223,4.79920552877487,1.59296259633273e-06,5.080403948664e-05
"ENSG00000170837",124.501059790224,10.167910330354,2.14150301060961,4.74802523273573,2.05412414140964e-06,6.28558903000868e-05
"ENSG00000173335",122.801386619026,10.1480792483819,2.14152596602803,4.73871408022378,2.15078725679603e-06,6.52169502827725e-05
"ENSG00000169347",116.852530519835,10.0764416991424,2.14161156670015,4.70507437287915,2.53773423796273e-06,7.50620535595958e-05
"ENSG00000095917",1854.40880182162,10.0356551318958,1.05381838017917,9.52313540990766,1.68031200091111e-21,8.45528849939949e-19
"ENSG00000173572",106.654491492649,9.94469804173456,2.14178051689128,4.64319194394808,3.43067358332002e-06,9.67018150639976e-05
"ENSG00000239830",568.704105878211,9.91527422414935,1.58086829791403,6.27204317857007,3.56340723147147e-10,2.95205112495011e-08
"ENSG00000232400",96.0315341726641,9.79333413556492,2.1419946445971,4.57206284818093,4.82946027976568e-06,0.000129673235535553
"ENSG00000227521",95.6066158798647,9.78693639332032,2.14200419895221,4.5690556526956,4.89926688812871e-06,0.000131029671321022
"ENSG00000110484",9119.13879574537,9.74833405582323,0.729384390363447,13.3651531135259,9.66359567379426e-41,4.37642773409089e-37
"ENSG00000165799",90.9325146590713,9.71462251567879,2.14211518707549,4.53506075410522,5.75869064816414e-06,0.000151052530177092
"ENSG00000250366",87.9580866094755,9.66664270376344,2.14219195415164,4.51250070519085,6.40677216501039e-06,0.000165274447261809
"ENSG00000289261",87.1082500238767,9.65263590910051,2.14221485000126,4.50591401189047,6.60878477053039e-06,0.000169750478210332
"ENSG00000240554",82.8590670958828,9.58048644946075,2.14233637002949,4.47198048984663,7.7498499437995e-06,0.00019390800114139
"ENSG00000112175",80.7344756318858,9.54301191335717,2.14240192402424,4.45435182182427,8.41470200549216e-06,0.000207737637214933
"ENSG00000280362",77.76004758229,9.48885638790515,2.14249971396011,4.42887171749784,9.47273428727566e-06,0.000229003070471571
"ENSG00000233099",75.2105378254936,9.44076231683361,2.14258968622932,4.40623903751173,1.05180889029671e-05,0.00025051233877126
"ENSG00000237442",74.7856195326942,9.43258842228201,2.14260527763047,4.40239204148401,1.07063868354538e-05,0.000254153535833583
"ENSG00000178162",73.9357829470954,9.41610037390713,2.14263699771705,4.39463165433056,1.10960739819496e-05,0.000261727360781415
"ENSG00000255556",72.2361097758978,9.38254796559288,2.14270267546221,4.37883803153834,1.19313763288929e-05,0.000277847534214183
"ENSG00000106631",70.5364366047002,9.34819661575933,2.14277151623876,4.36266608218144,1.28486977461439e-05,0.00029654590681488
"ENSG00000240216",763.90503238575,9.34027076820384,1.20751942113123,7.73508947744601,1.03330404135631e-14,1.99603978301619e-12
"ENSG00000240253",69.261681726302,9.32188545730078,2.14282536254375,4.35027773156221,1.35965212532701e-05,0.000310813578105459
"ENSG00000204434",1791.84775471254,9.2481850174795,0.912709484183648,10.1326711048164,3.95689925868091e-24,2.9323501251741e-21
"ENSG00000271474",64.5875805055086,9.2210852708426,2.14304097037425,4.30280400529732,1.68650030284853e-05,0.000373384388070631
"ENSG00000182798",63.7377439199098,9.20197653397524,2.14308356668824,4.29380201360756,1.75639114228049e-05,0.000386339700853807
"ENSG00000227183",63.7377439199098,9.20197653397524,2.14308356668824,4.29380201360756,1.75639114228049e-05,0.000386339700853807
"ENSG00000106541",1381.21325375571,9.19451045489646,0.968118169853723,9.49730181831593,2.15399015061976e-21,1.05776487408567e-18
"ENSG00000162896",3431.1498423101,9.18532547034858,0.790359052466893,11.6217122353177,3.19664619713146e-31,5.61573805349578e-28
"ENSG00000183434",62.4629890415116,9.17283031958288,2.14314963276549,4.28006993974862,1.86834590285557e-05,0.000407878211730944
"ENSG00000185149",60.763315870314,9.13302949071892,2.14324202945733,4.26131503824205,2.03227511688592e-05,0.00043757792651428
"ENSG00000224957",60.3383975775146,9.12290531901597,2.14326594133255,4.25654378352315,2.07611394097031e-05,0.000445476543037865
"ENSG00000231114",58.638724406317,9.08168284179266,2.14336505147799,4.23711436161108,2.26410830323311e-05,0.000478645178067833
"ENSG00000276289",57.3639695279188,9.04997412470429,2.14344323513661,4.22216645458657,2.41965308112111e-05,0.000504205725630959
"ENSG00000167104",56.9390512351194,9.03924776635249,2.14347007364544,4.21710938608034,2.47453955271814e-05,0.000512759316874624
"ENSG00000204065",55.6642963567212,9.00658172431338,2.14355304553577,4.20170694775703,2.64909922446391e-05,0.000542586106984545
"ENSG00000125999",603.710836000376,9.00014494989933,1.20764719205067,7.45262772864687,9.14992000432147e-14,1.54747547492174e-11
"ENSG00000016602",55.2393780639218,8.995526585502,2.14358155308494,4.19649374783808,2.71078941528215e-05,0.000552998327214641
"ENSG00000228162",54.389541478323,8.97315887300847,2.14363990329238,4.1859450643864,2.83982031718458e-05,0.000573863343124077
"ENSG00000280623",51.4151134287272,8.89202247476056,2.14385930514655,4.14767072326731,3.35874994540124e-05,0.000658803123313808
"ENSG00000065618",14458.6947490851,8.88140883018985,0.67554486210451,13.1470303874739,1.76990026795168e-39,6.55812409285842e-36
"ENSG00000275805",49.2905219647303,8.83114050589106,2.14403221689362,4.11894020822413,3.80618884101373e-05,0.000727656899488175
"ENSG00000188219",45.8911756223351,8.72804747523843,2.1443421423095,4.07026812700614,4.69590596480441e-05,0.000865282238786
"ENSG00000251576",44.1915024511375,8.67359993515109,2.14451496587384,4.04455089993591,5.2423518433893e-05,0.000953471748258387
"ENSG00000156076",443.516639615003,8.55425813170178,1.20786742371711,7.08211676524629,1.41968952120618e-12,1.94832071363106e-10
"ENSG00000238243",39.9423195231435,8.52774972129739,2.14501129654218,3.97561995829316,7.01961489536864e-05,0.00121131449415889
"ENSG00000155070",39.9423195231435,8.52774972129739,2.14501129654218,3.97561995829316,7.01961489536864e-05,0.00121131449415889
"ENSG00000171916",39.9423195231435,8.52774972129739,2.14501129654218,3.97561995829316,7.01961489536864e-05,0.00121131449415889
"ENSG00000267259",39.9423195231435,8.52774972129739,2.14501129654218,3.97561995829316,7.01961489536864e-05,0.00121131449415889
"ENSG00000196136",651.890033199324,8.5248603200784,1.05423755597169,8.08628024280642,6.15145552852659e-16,1.46624079466208e-13
"ENSG00000256612",4732.51114304204,8.51026174687561,0.714890263239966,11.9042910282567,1.12414647173503e-32,2.2909543020724e-29
"ENSG00000159763",2336.72375017146,8.49209227597943,0.778374841156944,10.9100292390709,1.03223143233408e-27,1.23743296913249e-24
"ENSG00000249267",38.6675646447453,8.48095571893315,2.14518144062017,3.95349109326683,7.70191322012282e-05,0.00130420557099703
"ENSG00000147256",1654.23959989058,8.45309490939328,0.822787507239512,10.2737278276791,9.25574678605967e-25,7.69908129087768e-22
"ENSG00000277514",36.9678914735477,8.41610486416767,2.14542652867323,3.92281196847712,8.75214559725073e-05,0.00144600203647484
