"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000235687",9355.00113427156,16.3993897674168,2.13986591937482,7.66374641463889,1.80586288297546e-14,3.36096644964368e-12,NA
"ENSG00000197408",2321.32863356312,14.3886119238171,2.13993285013128,6.72386141599465,1.7697075941477e-11,1.94950031972611e-09,"CYP2B6"
"ENSG00000263503",2052.78027251389,14.2112411650898,2.13994449566638,6.6409391429867,3.11690721412428e-11,3.2936682053093e-09,NA
"ENSG00000171199",1811.00176391104,14.0304507325493,2.13995793475555,6.55641426622341,5.51169828220609e-11,5.56067599713956e-09,"OPRPN"
"ENSG00000234918",1709.02137363918,13.9468336035885,2.13996474341668,6.51731933738354,7.15749453770318e-11,7.01279615053471e-09,NA
