"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000211965",1133.74737723384,-13.8242555320184,2.14010509761447,-6.4596152532079,1.04969515500204e-10,9.79050911275244e-09,"IGHV3-49"
"ENSG00000280614",577.169785711676,-12.8502286428768,2.14034842597061,-6.00380222535473,1.92749469406585e-09,1.37107777025183e-07,NA
"ENSG00000223648",534.220352116413,-12.7386683345885,2.14038827259405,-5.95156892686104,2.65584127577423e-09,1.79816336477212e-07,"IGHV3-64"
"ENSG00000277856",417.139019438918,-12.3817633605205,2.14053856090295,-5.78441500035274,7.27651039680984e-09,4.45320251146505e-07,NA
"ENSG00000211935",359.480875708291,-12.167151131543,2.14064854158303,-5.68386210776351,1.31686467773795e-08,7.55973061970722e-07,"IGHV1-3"
